"Conceito","MacroCategoria","Categoria","Subcategoria","Modulo_Curso","Prerequisito","Conhecimento_Atual","Objetivo","Data_Estudo","Tempo_Investido_hrs","Fonte_Estudo","Regras_Operacionais","Probabilidade","Mercado_Aplicavel","Notas"
"Identificar Padrões de Erro","Habilidades Práticas","Registro","Habilidade","01-07","Revisão","0","10","","","Livro/Video/Arvore","","","Universal","Erros recorrentes = prioridade de melhoria"
"Ajustar Sistema Baseado em Feedback","Habilidades Práticas","Registro","Habilidade","01-07","Identificar Erros","0","10","","","Livro/Video/Arvore","","","Universal","Melhoria contínua baseada em dados"
"Fundamentos Teóricos - Domínio","Desenvolvimento","Áreas de Competência","Progresso","01-11","Fundamentos","0","10","","","Livro/Video/Arvore","","","Universal","Base teórica completa"
"Leitura de Contexto de Mercado","Desenvolvimento","Áreas de Competência","Progresso","12-18","Contexto","0","10","","","Livro/Video/Arvore","","","Universal","Always In / Fases / Ciclo"
"Identificação de Estruturas","Desenvolvimento","Áreas de Competência","Progresso","12-18","Estrutura","0","10","","","Livro/Video/Arvore","","","Universal","Tendência/Canal/TR/S/R/MM"
"Leitura de Barras e Sinais","Desenvolvimento","Áreas de Competência","Progresso","08-11","Barras","0","10","","","Livro/Video/Arvore","","","Universal","Qualidade/Tipo/Contexto"
"Identificação de Padrões","Desenvolvimento","Áreas de Competência","Progresso","19-29","Padrões","0","10","","","Livro/Video/Arvore","","","Universal","MTR/Cunha/Duplos/Bandeiras/Clímax"
"Análise Matemática (Prob/RR)","Desenvolvimento","Áreas de Competência","Progresso","08-11","Matemática","0","10","","","Livro/Video/Arvore","","","Universal","Equação do trader aplicada"
"Execução de Ordens","Desenvolvimento","Áreas de Competência","Progresso","30-36","Ordens","0","10","","","Livro/Video/Arvore","","","Universal","Stop/Limit/Market - timing"
"Gestão de Stop Loss","Desenvolvimento","Áreas de Competência","Progresso","30-36","Stop Loss","0","10","","","Livro/Video/Arvore","","","Universal","Técnico / Tamanho / Trailing"
"Gestão de Posição","Desenvolvimento","Áreas de Competência","Progresso","30-36","Gestão","0","10","","","Livro/Video/Arvore","","","Universal","Scale in/out / Trailing"
"Realização de Lucros","Desenvolvimento","Áreas de Competência","Progresso","30-36","Realização","0","10","","","Livro/Video/Arvore","","","Universal","Alvos / Escalonamento"
"Operação em Tendências","Desenvolvimento","Áreas de Competência","Progresso","37-42","Operando Tendências","0","10","","","Livro/Video/Arvore","","","Universal","H1/H2/BTC em contexto certo"
"Operação em Canais","Desenvolvimento","Áreas de Competência","Progresso","37-42","Operando Canais","0","10","","","Livro/Video/Arvore","","","Universal","Estreito/Amplo/Fade linha"
"Operação em Trading Ranges","Desenvolvimento","Áreas de Competência","Progresso","37-42","Operando TR","0","10","","","Livro/Video/Arvore","","","Universal","BLSHS/LOM/BOM"
"Operação de Rompimentos","Desenvolvimento","Áreas de Competência","Progresso","37-42","Operando BO","0","10","","","Livro/Video/Arvore","","","Universal","Forte/Fraco/Fade"
"Operação de Reversões","Desenvolvimento","Áreas de Competência","Progresso","37-42","Operando MTR","0","10","","","Livro/Video/Arvore","","","Universal","MTR/Cunha/Clímax"
"Timing (Abertura/Meio/Final)","Desenvolvimento","Áreas de Competência","Progresso","43-46","Momentos do Dia","0","10","","","Livro/Video/Arvore","","","Universal","Características de cada período"
"Análise Multi-Timeframe","Desenvolvimento","Áreas de Competência","Progresso","43-46","HTF/CTF/LTF","0","10","","","Livro/Video/Arvore","","","Universal","HTF=viés CTF=setup LTF=entrada"
"Psicologia e Disciplina","Desenvolvimento","Áreas de Competência","Progresso","01-07","Psicologia","0","10","","","Livro/Video/Arvore","","","Universal","Seguir o sistema"
"Gestão Emocional","Desenvolvimento","Áreas de Competência","Progresso","01-07","Gestão Emocional","0","10","","","Livro/Video/Arvore","","","Universal","Controlar impulsos"
"Journaling e Análise","Desenvolvimento","Áreas de Competência","Progresso","01-07","Registro","0","10","","","Livro/Video/Arvore","","","Universal","Feedback loop"
"Gestão de Perdas","Desenvolvimento","Áreas de Competência","Progresso","47-50","Gestão de Perdas","0","10","","","Livro/Video/Arvore","","","Universal","Distinguir erros de má sorte"
